istanza,obj_int,time_int,obj_relax,time_relax,gap_relax,obj_gomory_all,time_gomory_all,iter_gomory_all,gap_gomory_all,obj_gomory_step,time_gomory_step,iter_gomory_step,gap_gomory_step,nota
cap101.dat,2860322638.0,0.13205647468566895,2860171767.2983274,0.13261890411376953,0,2860171767.2983274,0,0,0,2860171767.2983274,0,0,0,Relax già intero
cap102.dat,2860442638.0,0.15172982215881348,2860191186.8305454,0.11620354652404785,0,2860191186.8305454,0,0,0,2860191186.8305454,0,0,0,Relax già intero
cap103.dat,2860562638.0,0.1563279628753662,2860210606.3627634,0.11967945098876953,0,2860210606.3627634,0,0,0,2860210606.3627634,0,0,0,Relax già intero
cap104.dat,2860742638.0,0.16108393669128418,2860239735.6610904,0.13572144508361816,0,2860239735.6610904,0,0,0,2860239735.6610904,0,0,0,Relax già intero
cap71.dat,4004134478.0,0.0772862434387207,4004044073.144052,0.12497234344482422,0,4004044073.144052,0,0,0,4004044073.144052,0,0,0,Relax già intero
cap72.dat,4004209478.0,0.10308098793029785,4004058803.2400866,0.146467924118042,0,4004058803.2400866,0,0,0,4004058803.2400866,0,0,0,Relax già intero
cap73.dat,4004289523.0625,0.14900684356689453,4004078578.3986216,0.14351129531860352,0,4004078578.3986216,0,0,0,4004078578.3986216,0,0,0,Relax già intero
cap74.dat,4004396978.0,0.11531400680541992,4004095628.4801736,0.14241838455200195,0,4004095628.4801736,0,0,0,4004095628.4801736,0,0,0,Relax già intero
