istanza,facility,clienti,obj_int,time_int,obj_relax,time_relax,gap_relax,obj_gomory_all,time_gomory_all,gap_gomory_all,obj_gomory_step,time_gomory_step,numero tagli possibili,iter_gomory_step,gap_gomory_step,nota
cap101.dat,25,50,2860322638.0,0.07669448852539062,2860171767.2983274,0.05568838119506836,0.005274882557667649,2860171767.2983274,0.0965421199798584,0.005274882557667649,2860171768.9735885,18.793583154678345,24,23,0.005274823982535663,
cap102.dat,25,50,2860442638.0,0.0908041000366211,2860191186.8305454,0.07726073265075684,0.008791411238953379,2860191186.8305454,0.11368036270141602,0.008791411238953379,2860191189.622648,18.672669410705566,24,23,0.00879131361094123,
cap103.dat,25,50,2860562638.0,0.07120561599731445,2860210606.3627634,0.06984710693359375,0.012307892168970814,2860210606.3627634,0.1957683563232422,0.012307892168970814,2860210610.2717066,17.689074754714966,24,23,0.012307755485879339,
cap104.dat,25,50,2860742638.0,0.08467674255371094,2860239735.6610904,0.04098820686340332,0.017582524032496515,2860239735.6610904,0.0798940658569336,0.017582524032496515,2860239741.2452946,22.02243208885193,24,23,0.01758232876263992,
cap71.dat,16,50,4004141978.0,0.05499863624572754,4004045049.5613384,0.0413670539855957,0.0024207629400222223,4004045049.5613384,0.07823777198791504,0.0024207629400222223,4004045050.7674074,7.817539930343628,15,14,0.0024207328180287538,
cap71_restricted.dat,16,25,230554568.0,0.057595252990722656,221829403.48444042,0.04673004150390625,3.9332768237694804,221829403.48444042,0.08368468284606934,3.9332768237694804,221829895.26842564,2.1917645931243896,12,11,3.9330464097352844,
cap72.dat,16,25,248429403.0,0.06537652015686035,248369062.6942675,0.04803800582885742,0.024294614263921092,248369062.6942675,0.07794189453125,0.024294614263921092,248369065.56680024,2.794621467590332,11,10,0.024293457424767424,
cap73.dat,16,50,4004289523.062501,0.06220364570617676,4004078578.398622,0.046448707580566406,0.005268244859552237,4004078578.398622,0.08794522285461426,0.005268244859552237,4004078581.0363207,8.426431894302368,15,14,0.00526817898078494,
cap74.dat,16,50,4004396978.0,0.05066537857055664,4004095628.4801736,0.04120206832885742,0.007526032037871055,4004095628.4801736,0.08472108840942383,0.007526032037871055,4004095632.248315,8.289184808731079,15,14,0.007525937923613871,
